species,biomass_min,treeheight_min,soilmoisture_min,peatmap_min,biomass_max,treeheight_max,soilmoisture_max,peatmap_max,s2_NDVI_mean_min,hii_hii_mean_min,hii_population_density_mean_min,hii_power_mean_min,hii_roads_mean_min,dem_b1_mean_min,bioclim_bio01_mean_min,bioclim_bio12_mean_min,s2_NDVI_std_min,hii_hii_std_min,dem_b1_std_min,s2_NDVI_mean_max,hii_hii_mean_max,hii_population_density_mean_max,hii_power_mean_max,hii_roads_mean_max,dem_b1_mean_max,bioclim_bio01_mean_max,bioclim_bio12_mean_max,s2_NDVI_std_max,hii_hii_std_max,dem_b1_std_max,n_occ,AOO2km,EOOkm2,RedListCategory
Plectocarpon nephromeum,41.837890625,10.816659375,30.30521875,0.259865625,117.8249375,56.51014375,184.441021875,1.8220875,0.2635310687909742,397.79301444142504,27.513323522328648,0.0,212.1449583751484,406.8319998349581,11.92792538133157,618.5314232157333,0.0444197295893839,143.30677275782435,27.40667686053504,0.8757156207113166,1298.8086388751751,161.729574172425,11.29255995909319,748.4888435058431,547.7293378506844,24.93669630888721,1046.4297967965235,0.3652908857599245,529.7455675032744,110.75878516881448,16,48,17559.7412416676,EN
Buglossoporus quercinus,49.299856250000005,7.100875,15.7073,0.054925,240.967125,99.49285187499994,96.4473,1.612393749999997,-0.2053913858735481,342.08919433389485,158.8506663735507,0.0,43.13264602276043,3.6027355301478816,59.18642009866363,491.0050051730569,0.064363700065326,8.084587531566193,3.022769196816734,0.7180702338688191,4469.0164783231,920.1459635253794,900.0,828.3252528472276,176.35094126704985,76.26256240895333,703.7714234648811,0.7495106418373356,1258.0187281546362,29.891007273883577,111,276,83246.2179787336,EN
Bacidia laurocerasi,24.47325,51.87496875,17.4119,0.8749875,133.15671874999998,120.43215625,66.68753124999999,1.7394937499999998,0.347310086758845,190.1391033781258,30.612602580493917,0.0,43.20201533044089,27.89147099713858,22.811312059650874,515.5734148694117,0.1113966657883458,74.56059177778033,6.59430716925432,0.8033138691406235,3152.8525779401793,818.4765410214911,900.0,803.5856766931824,323.4023315456179,76.89923213243021,653.0275492956014,0.32471341673002,1605.100272568461,83.6985424501373,31,48,156756.284323625,EN
Pyrenula nitidella,50.593430625,22.611321875,12.80125,0.495088125,207.415915625,104.63661062500005,61.817231250000006,1.229100625,0.0188052382388804,484.4298741356486,174.5942096520523,0.0,97.63613005202352,15.77030548299019,59.076515163061934,516.7690589198965,0.1045971855101905,188.41626763596383,5.602716357261822,0.7594517839014596,3342.477979313353,767.0777076828692,847.4210640618277,897.9289122608554,150.13652423311947,77.47713164781585,763.8679678143687,0.5060149738539114,1042.592827977791,47.89574197605516,100,148,85621.8405781592,EN
Leptogium cyanescens,45.73425,28.16976,20.84131,0.5736,189.34327499999992,109.250095,82.834595,1.954325,0.0644843829140697,234.42933708614808,72.1924681243517,0.0,23.042830952895013,21.581112233750986,25.608738534667584,509.31482105895793,0.0190848740944306,46.81652414402193,5.62637205159882,0.7989073164406518,2275.640492057343,635.3340648555039,828.4824225037864,739.6152418683583,422.7177468265528,73.90775044320668,862.4539792440307,0.5787563962555284,628.4477676993188,43.08451069067418,278,372,192866.348184199,EN
Mutinus caninus,37.75275,18.834025,9.285275,0.707775,215.43925,141.98195,61.0061,1.553425,0.2538103956162619,363.4752563725798,198.3128849668072,0.0,37.96719169549737,9.689857788269617,66.77879521653628,598.3194350658091,0.0896861431069096,108.82164314951132,3.619168252269735,0.8319705986447188,4428.916468535344,902.8541134731718,900.0,850.2693531157687,168.9927058410632,79.05998054603313,883.029533005018,0.4243652534669936,998.4409463288928,49.162669909410944,445,976,30180.4300971971,LC
Aspilidea myrinii,8.044427500000001,0.0,4.5767412499999995,0.0,255.0,18.95656,255.0,1.48411625,0.0278392573561396,27.21922583127378,6.314483256164652,0.0,7.341632412005907,673.2111039271706,-40.18055167823105,512.20603942363,0.0349920228319786,2.7282411147614303,32.86963334357738,0.681733010372587,731.2271204219401,209.71399148756777,84.75365319624622,223.9127564527503,1259.155890285827,6.408319840091444,1040.9796696960432,0.2994907109365584,431.03143093916253,151.12434702263755,20,68,100028.754485788,LC
Naucoria striatula,46.280403125,19.132659375,14.819461875,0.672048125,206.17042812500003,142.94791312500004,71.80116812500002,1.7853675000000002,0.1096553403078059,699.3867144726173,114.88699909168716,0.0,33.63134163979606,9.475063214168646,40.9104491010205,515.735827426618,0.0735686134267361,169.1150320102204,4.276671278683114,0.7833710142719296,2905.525396147722,697.5400975253792,833.650692618339,741.8574977709344,231.17558910511517,77.22856411177274,837.9674698051065,0.7188929710771094,898.2765447838265,48.29484384074493,52,172,167496.422927657,LC
Melanoleuca strictipes,38.130375,18.18773875,18.2571225,0.533811875,206.03942187500007,104.31284937500004,76.44625750000002,1.97965,0.1276051519025915,348.36589749289027,100.12383182362554,0.0,28.45890939099788,11.1997006359305,22.540804068906624,538.3218807581604,0.0732346081373968,79.40782585944497,5.148569132509693,0.8348694186884797,3480.202996371612,879.6315476545263,900.0,802.9911785417149,345.84427958213973,76.56586068217479,876.279041404205,0.6202779318012219,936.6055113592012,54.28811208105341,546,1548,318029.739357823,LC
Lepraria jackii,35.197875,29.363899999999997,18.90163125,0.5147499999999999,188.42890625,116.9236875,62.94976875,1.90088125,0.175360959883707,296.47600962571323,16.541556293170274,0.0,127.56809629275789,19.012896474133218,7.396031193076778,513.1949895575441,0.0704239936656276,44.20125268124396,6.108748367977617,0.832512363845142,4003.002186346279,905.35519542858,909.6483294171256,866.15056108,711.1137965707102,76.55374966803402,822.7704581002572,0.3227930583325193,945.1076000863928,43.96129230991063,31,96,158882.020115718,LC
