species,biomass_min,treeheight_min,soilmoisture_min,peatmap_min,groundcover_min,biomass_max,treeheight_max,soilmoisture_max,peatmap_max,groundcover_max,s2_NDVI_mean_min,hii_hii_mean_min,hii_population_density_mean_min,hii_power_mean_min,hii_roads_mean_min,dem_b1_mean_min,bioclim_bio01_mean_min,bioclim_bio12_mean_min,s2_NDVI_std_min,hii_hii_std_min,dem_b1_std_min,s2_NDVI_mean_max,hii_hii_mean_max,hii_population_density_mean_max,hii_power_mean_max,hii_roads_mean_max,dem_b1_mean_max,bioclim_bio01_mean_max,bioclim_bio12_mean_max,s2_NDVI_std_max,hii_hii_std_max,dem_b1_std_max,n_occ,AOO2km,EOOkm2,RedListCategory
Amanita vaginata,40.111709375,18.210615625000003,13.152074375,0.53348375,4.142225,204.944934375,114.01089625,77.64438249999998,1.8300006249999992,78.34559187499998,0.1514458744743854,257.7221243699993,47.509862011894704,0.0,28.651315932755107,9.916515740302447,11.67401533773852,509.1063006793116,0.0802843721439464,65.36276732555943,3.916448802647131,0.8127215214473676,4160.67691904693,936.906184710744,900.0,831.7400722179573,585.8456980670891,77.3654187852345,841.897659166977,0.5692012155987288,1041.5807282208104,56.34751938854906,2450,5544,442179.853382312,LC
Aspilidea myrinii,8.044427500000001,0.0,4.57674125,0.0,0.0,255.0,18.95656,255.0,1.48411625,49.19314375000001,0.0278392573561396,27.21922583127378,6.314483256164652,0.0,7.341632412005907,673.2111039271706,-40.18055167823105,512.20603942363,0.0349920228319786,2.7282411147614303,32.86963334357738,0.681733010372587,731.2271204219401,209.71399148756777,84.75365319624622,223.9127564527503,1259.155890285827,6.408319840091444,1040.9796696960432,0.2994907109365584,431.0314309391625,151.12434702263755,20,68,100028.754485788,LC
Russula integra,41.145103125000006,27.788959375,15.676714375,0.516021875,5.806235625,187.93986562500007,109.131685,70.02848250000002,1.651325,82.77972687500005,0.1643553949432565,469.63407194792,141.43334831821537,0.0,38.46706045114402,12.559775378089345,50.238360523226376,516.7487400086777,0.0780453867695499,109.51316456230312,5.445744275234918,0.8058272745613846,4164.974861628682,963.8726291149732,900.0,831.3467876740442,237.01201301739889,72.76889752410081,803.1122875545105,0.5387340230559972,1212.5483136445905,42.90552924326106,4566,8016,264488.240025715,LC
Kuettlingeria albolutescens,64.7544125,37.7354125,8.87541,1.0112625,6.785035000000001,161.8388625,39.7562225,10.3858875,1.0197075,38.85782249999997,0.4429825389807253,1658.4534213928696,192.44639438206272,0.0,704.4538893944335,7.976013949765738,75.0,511.7634644812448,0.1031551960698798,336.06179839297727,2.60048767652423,0.7917456221024001,1689.547240925212,206.22062040762663,0.0,712.2339238688081,7.988480523524398,75.0,511.792335905883,0.1779519738787747,348.19366117319595,2.6119638744709293,13,8,0.0028823570668399,
Taphrina carnea,44.058825,0.91030625,8.08735625,0.4726875,0.00981875,254.9466875,65.62361875,113.68359375,2.27606875,35.4687375,0.2894834972623806,147.83646535782066,6.870983460002021,0.0,6.021932094649084,14.255267665888438,-25.276262855726657,439.5305324072325,0.0807307662847809,12.6738119816074,9.068800070914955,0.736827493438517,4501.066694862891,988.5311563872876,956.1403486341014,862.360588624939,950.5606228681816,27.39145379688097,1005.798788899246,0.444717390830424,1084.3820585667424,106.2324944238658,31,116,174258.057477951,LC
Gloiothele lactescens,65.366525,15.886885,12.70297375,0.387909375,3.424175,219.716471875,117.43810812499996,77.05279249999998,1.4234925,53.98436124999989,0.1639949105709724,869.1355260744351,289.27332715700834,0.0,25.180219241719826,6.7794346136261545,54.95701561652828,511.3706621560152,0.0952206665540731,166.24234991372995,3.609127011626073,0.7755083088492959,4747.8342145265,999.7247526711978,988.6903217075012,894.5390204940156,146.85636913492002,78.51005129543184,802.4075759511254,0.5972311806150384,1140.3063713941642,40.1490918116603,55,168,128603.660218331,LC
Hygrocybe acutoconica,36.393375,7.49912375,11.84606125,0.3677925,1.831125,232.36803750000004,102.1994325,101.0,1.902675,82.53516375000001,0.1728184461207807,383.078648451228,69.71034797220861,0.0,34.103770951308135,7.616907359643832,23.78188173981102,498.5229499846621,0.0757722873771035,79.32514675589827,3.841940957034441,0.8246440955595298,4398.552997161648,941.6356258368282,900.0,849.7938160701384,384.2501647987767,78.08469547769303,913.0784360731408,0.4763242179188097,1106.66606409892,47.84586363402162,1283,2944,389288.088744807,LC
Echinosphaeria canescens,55.874496875,19.162433125,11.098155,0.6704924999999999,4.26279375,204.52059375,86.32502124999999,55.62368562499999,1.536843124999997,60.722539375,0.1467097015249797,841.0837363879692,264.28933463454143,0.0,55.90305200240984,9.745674270820317,36.36867008714293,527.8137386008741,0.1300331496045116,115.86773931640948,4.710990809453077,0.671055359182749,4451.697786216925,952.5582358105924,905.0198620685296,844.3863964924315,240.0981711901916,79.41371259363815,711.601751523742,0.4383853430368091,1389.290166475392,39.90976586032287,34,104,108881.975770602,LC
Onnia triquetra,43.5140375,25.9641275,9.615875,0.31687125,5.61377625,192.369025,114.27663875,79.07873062499999,1.341828125,66.41254062499996,0.0325469545944511,439.5131423841641,156.9492555577768,0.0,198.72791250646057,10.216170605863711,57.02512022218148,512.8794088861198,0.0619296582228777,77.15329939712878,5.991438034221024,0.7636379769137673,4883.17784749829,992.78118951263,902.3772657350328,840.4683490303582,162.9896332987734,75.50519997749187,597.0502812402447,0.5729203802245231,1139.2018122397203,21.66299562244367,254,316,96583.7948178997,
Bryoria fremontii,34.13885625,24.20101375,18.567795,0.8307387500000001,6.918475,147.2600875,103.44315375,76.02328625,2.684764999999999,96.93638874999994,0.1142595755000082,65.47756220360796,11.606033261485148,0.0,20.651157299947855,27.960536817157664,-11.568209275341276,474.7114671111737,0.0639837308290116,6.802605393551573,7.049065250316793,0.8081415597983452,2099.40835984417,508.5046852158176,717.9718545501088,733.0484498820895,687.8745431723366,64.89064007214586,717.8022017569426,0.4163469870101086,748.1279944793249,55.46929547310059,1622,4448,436792.005629521,LC
