species,biomass_min,treeheight_min,soilmoisture_min,peatmap_min,groundcover_min,biomass_max,treeheight_max,soilmoisture_max,peatmap_max,groundcover_max,s2_NDVI_mean_min,hii_hii_mean_min,hii_population_density_mean_min,hii_power_mean_min,hii_roads_mean_min,dem_b1_mean_min,bioclim_bio01_mean_min,bioclim_bio12_mean_min,s2_NDVI_std_min,hii_hii_std_min,dem_b1_std_min,s2_NDVI_mean_max,hii_hii_mean_max,hii_population_density_mean_max,hii_power_mean_max,hii_roads_mean_max,dem_b1_mean_max,bioclim_bio01_mean_max,bioclim_bio12_mean_max,s2_NDVI_std_max,hii_hii_std_max,dem_b1_std_max,n_occ,AOO2km,EOOkm2,RedListCategory
Acarospora glaucocarpa,34.50024375000001,2.27474125,10.0107,0.181644375,0.5560268750000001,250.792271875,102.80051125,94.81087062499998,1.517143125,36.62209937499998,0.0767315527838891,235.19428382463985,23.30135103869887,0.0,45.48365728153465,9.087918823260567,2.71310752758051,490.0958785288674,0.0586041295007804,42.076855441997424,3.787236292847098,0.7556229632970053,3326.882234695512,698.2045981936242,734.9081346198878,846.206831020956,779.9752482818757,76.37506918405558,958.4662955761836,0.3927443787654097,1055.9194631374974,72.78625995086408,114,348,252001.465281813,LC
Acarospora impressula,54.003375,5.288015,25.844595,0.34951,1.036255,239.3489,87.89829,82.52281999999998,1.7982099999999994,31.405034999999955,-0.0758217205485189,892.4058446638837,253.55295149225208,151.47111268180782,59.33786565902674,4.083833960037224,62.63962505716516,730.1115443018014,0.1002121979167659,156.85857178623473,5.612084393829655,0.8343681687649424,3197.647206067297,899.9390756041304,896.1927857911974,604.4855352477525,120.5016224695346,76.77376559745875,842.5897762852924,0.6293873340521129,845.1586744363976,43.83401409113304,33,108,11345.0225272309,
Acarospora macrospora,68.14921875,1.930978125,9.776759375,0.1733375,0.55524375,251.674625,55.974540625,115.0098,1.3377125,11.901765625,0.081040286300767,576.3520146307461,147.34981006039487,0.0,179.94088331345813,5.091109915586946,67.48344666097742,490.31333438912304,0.0848294165089737,110.90438561854756,3.859748775123622,0.6863473352910144,1944.9177984466755,362.0531322516487,491.22456189761937,738.7420525530125,70.15459874673351,76.21050561377804,560.2712407190719,0.3405275308375817,655.510980649842,14.629705235874107,38,100,50522.3567035616,LC
Acarospora moenium,54.865243750000005,13.457505,21.394531875,0.495578125,3.678095,189.56259687500005,104.61615,70.333291875,1.94076625,63.84074750000009,0.1310218022800112,224.5310753038392,45.17109046831442,0.0,137.6535895763223,18.70211465520386,-18.452228682473525,440.62037695890734,0.0890001759227346,35.857981060056325,6.472068745558784,0.7769859849516839,3165.9926780527003,817.9747780319425,793.0620818205771,817.7477202137578,571.9112881295862,73.13787016893991,812.0291290084493,0.5152798231302113,1389.577797579262,42.151083011140365,52,136,477316.372333577,LC
Acarospora privigna,72.77715,7.88786,23.5140175,0.1353825,1.8665812500000003,228.57809375,81.7331675,168.76582999999988,1.6965624999999995,16.0279775,0.0091776834572148,666.6850331686037,236.25274187680537,45.56878329225654,9.334556011745814,4.455770108308183,69.74050343788481,675.8665414373971,0.1341615057965358,182.3506222122528,5.910121213654364,0.5395985243979792,4362.376073023995,885.9040898757482,939.6200349713793,837.7212335798343,116.40623782966148,76.99990371724695,896.2394206733003,0.5283334293261663,928.0546711388312,45.97700308113654,23,84,8001.57458423804,
Acarospora sinopica,41.2276125,2.2288925000000006,15.68735375,0.0008775,0.1884762500000003,252.77259999999995,98.00252374999994,115.59430999999996,1.5943274999999997,63.62683499999997,0.0397590715229533,298.4003910167892,12.73351829357739,0.0,21.13699054310092,8.48766541697544,-7.483176998224024,509.436173394919,0.0845723316369771,72.16131202770995,6.283061359183567,0.7973282778396217,4574.035250613093,997.8696478255928,923.2236227725311,894.8262681827845,879.1192064515438,72.82275188578276,983.7362861058112,0.5537706111711727,1064.5444199851702,82.75692323039894,173,460,412021.713040478,LC
Acarospora veronensis,36.62946875,1.815209375,13.455275,0.239125,0.3768812499999999,251.05878125,91.47495,150.2153125,1.618496875,56.398587500000005,0.0255369663614036,679.5624739037403,43.67771674579788,0.0,121.18822978414508,4.428309338548128,20.010605637586195,507.361004370976,0.0934966207821058,162.97819065083593,3.494927128309489,0.7290188480968982,4024.097412398643,988.116831934311,900.0,830.2195332786048,476.16063508356746,77.88580891657523,794.7949462544394,0.4369284307857266,968.2799988764071,43.16099254302231,26,88,204377.748059612,
Acolium inquinans,40.047025,16.134376875,13.524841875,0.55883,3.942375625,205.19417812499995,101.402543125,78.96711187499994,2.1086149999999986,75.79072562499995,0.041267721181887,201.86280000112396,38.67026382458013,0.0,46.59301558185946,8.345467682050721,13.801835324962031,490.46528533512407,0.0724969613830072,30.910517156449423,3.770333248174341,0.8149000244620679,3848.800995776533,905.5071984303434,900.0,825.2672428886914,598.118906727267,76.948124296135,845.2789395841147,0.595546414884923,1144.58811958585,42.946837317499366,6822,12448,383381.788626924,LC
Acolium karelicum,30.322253125,0.0,19.446315625,0.0,5.513269375,165.801775,81.120213125,255.0,3.0686587499999987,90.19995437499996,0.0412383965375457,21.487012943681105,8.60047696014139,0.0,1.9972639738868048,163.84659882900166,-16.70914244210425,468.9157687666576,0.056477302156494,2.4150993806527965,7.1485874769465445,0.8001175815087602,1168.5901875400905,179.9770996375845,113.5533179850843,700.6531345496736,789.3331059969468,28.576380506147736,1003.2938878565056,0.372747053968091,499.1399036350061,84.9333633157515,1062,2888,373492.836339908,VU
Acolium sessile,36.02861875000001,18.22099625,12.23791875,0.345733125,3.651779375,210.609375,96.59301937499995,125.94112374999996,1.7346312499999998,56.06418187499994,0.0526612288532146,442.2350999244171,132.50929772191165,0.0,65.87353893161608,7.656531210181478,56.49651165184212,492.7904783158052,0.1029481133165634,123.6103696995611,2.983312461619958,0.7677357740100418,4372.797585537521,985.195956125865,900.0,859.9854170588292,205.83485811404643,76.514985240586,777.27872357466,0.5816853164812043,971.9083922675842,24.21130218272994,406,748,151708.28380274,VU
